Дата,Авиаотделение,Метеостанция,Температура,Точка_росы,Время_измерения,Осадки,Высота_снега,КППО_1,Класс_ПО_1,КППО_2,Класс_ПО_2,КППО_3,Класс_ПО_3,Пред_день,Ночь,Признак_снега
2025-06-02,,28948 : Аршалинский,28.3,8.6,14:00,0.0,0,8096,4,7957,4,8193,4,1,1,0
2025-06-02,,35041 : Бреды,24.1,9.9,14:00,0.0,0,5236,4,5217,4,6432,4,1,1,0
2025-06-02,,28549 : Бродокалмак,29.7,6.3,14:00,0.0,0,7981,4,6320,4,11234,5,1,1,1
2025-06-02,,28847 : Варна,26.2,9.0,14:00,0.0,0,8074,4,7013,4,8041,4,1,1,0
2025-06-02,,28833 : Верхнеуральск,21.6,14.3,14:00,4.0,0,158,1,480,2,4703,4,1,1,1
2025-06-02,,28541 : Верхний Уфалей,27.5,5.6,14:00,0.0,0,4667,4,4768,4,5170,4,1,1,1
2025-06-02,,28943 : Есенкульская,29.0,9.9,14:00,1.1,0,4858,4,1180,3,6619,4,0,0,0
2025-06-02,,28630 : Златоуст,23.9,8.3,14:00,0.0,0,832,3,723,3,3242,4,1,1,1
2025-06-02,,28941 : Карталы,25.8,9.7,14:00,0.0,0,7746,4,5176,4,7158,4,1,1,0
2025-06-02,,28639 : Катав-Ивановск,16.5,15.1,14:00,0.1,0,5083,4,5199,4,6338,4,1,1,1
2025-06-02,,28939 : Кизильское,27.5,10.4,14:00,0.0,0,5863,4,5802,4,6502,4,1,1,0
2025-06-02,,28843 : Комсомолец,28.9,11.2,14:00,0.1,0,4106,4,4031,4,4603,4,1,1,0
2025-06-02,,28637 : Кропачево,22.4,10.8,14:00,0.7,0,4680,4,1060,3,4973,4,0,0,1
2025-06-02,,28838 : Магнитогорск I,22.4,13.5,14:00,0.0,0,739,3,679,3,4070,4,1,1,1
2025-06-02,,28647 : Миасс,26.9,10.7,14:00,0.1,0,4511,4,1346,3,6486,4,1,1,1
2025-06-02,,28741 : Мирный,26.7,9.1,14:00,0.0,0,5103,4,4629,4,5102,4,1,1,1
2025-06-02,,28533 : Нязепетровск,27.6,9.7,14:00,0.0,0,4505,4,4303,4,4804,4,1,1,1
2025-06-02,,28754 : Октябрьское,30.3,6.8,14:00,0.0,0,4897,4,4927,4,7156,4,1,1,1
2025-06-02,,28747 : Петропавловский,25.1,10.6,14:00,1.1,0,4845,4,1090,3,5190,4,0,0,1
2025-06-02,,28748 : Троицк,28.8,8.5,14:00,0.0,0,5220,4,5359,4,7585,4,1,1,1
2025-06-02,,28642 : Челябинск II,29.0,7.4,14:00,0.0,0,5950,4,1806,3,7228,4,0,0,1
2025-06-02,,28645 : Челябинск-Город,29.1,6.3,14:00,0.0,0,8157,4,6432,4,12058,5,1,1,1
2025-06-02,,28745 : Южноуральск,27.9,8.8,14:00,0.0,0,6165,4,6094,4,8130,4,1,1,1
2025-07-15,,28948 : Аршалинский,26.7,7.1,14:00,0.0,0,2007,3,1867,3,3929,3,1,1,0
2025-07-15,,35041 : Бреды,26.8,7.9,14:00,0.0,0,2826,3,3127,3,10172,4,1,1,0
2025-07-15,,28549 : Бродокалмак,24.2,12.7,14:00,0.1,0,1467,3,1611,3,2335,3,1,1,1
2025-07-15,,28847 : Варна,27.8,7.3,14:00,0.0,0,2018,3,1803,3,3945,3,1,1,0
2025-07-15,,28833 : Верхнеуральск,23.9,11.2,14:00,0.0,0,1904,3,1741,3,1623,3,1,1,1
2025-07-15,,28541 : Верхний Уфалей,22.1,10.8,14:00,1.0,0,1852,3,1100,3,2587,3,1,1,1
2025-07-15,,28943 : Есенкульская,26.6,10.7,14:00,1.5,0,1746,3,1110,3,3676,3,0,0,0
2025-07-15,,28630 : Златоуст,22.1,11.0,14:00,0.0,0,1290,3,1192,3,1461,3,1,1,1
